Episode,PredictorReward,ActionReward,TotalReward,PredictorEps,ActionEps
1,49329.500000000175,6721.300000000016,56050.80000000019,0.11242507996344034,0.11242507996344034
2,117455.30000000042,120486.69999999942,237941.99999999983,0.049911691230058335,0.049911691230058335
3,116838.20000000004,125786.19999999939,242624.39999999944,0.049911691230058335,0.049911691230058335
4,119478.29999999984,130451.29999999936,249929.59999999922,0.049911691230058335,0.049911691230058335
5,120256.90000000001,128381.09999999938,248637.9999999994,0.049911691230058335,0.049911691230058335
6,119437.50000000006,122902.09999999944,242339.5999999995,0.049911691230058335,0.049911691230058335
7,120935.19999999946,130335.5999999994,251270.79999999885,0.049911691230058335,0.049911691230058335
8,118176.10000000012,122695.4999999994,240871.5999999995,0.049911691230058335,0.049911691230058335
9,117858.19999999952,121979.79999999944,239837.99999999895,0.049911691230058335,0.049911691230058335
10,117882.00000000038,122443.99999999942,240325.9999999998,0.049911691230058335,0.049911691230058335
11,120851.8999999995,131691.69999999937,252543.59999999887,0.049911691230058335,0.049911691230058335
12,119806.39999999997,128184.39999999941,247990.79999999938,0.049911691230058335,0.049911691230058335
13,119915.19999999975,125751.5999999994,245666.79999999914,0.049911691230058335,0.049911691230058335
14,122184.69999999933,134370.89999999938,256555.5999999987,0.049911691230058335,0.049911691230058335
15,121499.60000000072,131418.39999999932,252918.00000000006,0.049911691230058335,0.049911691230058335
16,122871.49999999945,135508.8999999994,258380.39999999886,0.049911691230058335,0.049911691230058335
17,117001.40000000004,119574.9999999994,236576.39999999944,0.049911691230058335,0.049911691230058335
18,120817.90000000011,132473.6999999994,253291.5999999995,0.049911691230058335,0.049911691230058335
19,118179.49999999985,123866.4999999994,242045.99999999924,0.049911691230058335,0.049911691230058335
20,120797.49999999981,129592.49999999937,250389.99999999919,0.049911691230058335,0.049911691230058335
21,119745.2000000005,115748.7999999993,235493.99999999983,0.049911691230058335,0.049911691230058335
22,78761.60000000036,-29290.40000000004,49471.20000000032,0.049911691230058335,0.049911691230058335
23,98874.30000000038,43534.1,142408.40000000037,0.049911691230058335,0.049911691230058335
24,97708.10000000003,69708.69999999981,167416.79999999984,0.049911691230058335,0.049911691230058335
25,98648.20000000022,72796.19999999914,171444.39999999935,0.049911691230058335,0.049911691230058335
26,92217.1,41782.50000000005,133999.60000000006,0.049911691230058335,0.049911691230058335
27,92735.60000000005,46726.00000000005,139461.6000000001,0.049911691230058335,0.049911691230058335
28,91717.30000000058,58493.099999999846,150210.40000000043,0.049911691230058335,0.049911691230058335
29,111110.90000000017,94975.89999999937,206086.79999999952,0.049911691230058335,0.049911691230058335
30,49207.100000000006,-94333.10000000056,-45126.00000000055,0.049911691230058335,0.049911691230058335
31,104958.59999999992,88574.59999999966,193533.19999999958,0.049911691230058335,0.049911691230058335
32,115306.50000000068,116510.29999999928,231816.79999999996,0.049911691230058335,0.049911691230058335
33,119270.90000000031,78312.69999999975,197583.60000000006,0.049911691230058335,0.049911691230058335
34,86941.99999999996,41648.799999999916,128590.79999999987,0.049911691230058335,0.049911691230058335
35,120280.69999999998,129394.8999999994,249675.5999999994,0.049911691230058335,0.049911691230058335
36,108690.09999999974,98328.29999999948,207018.3999999992,0.049911691230058335,0.049911691230058335
37,102697.60000000006,83950.7999999997,186648.39999999976,0.049911691230058335,0.049911691230058335
38,109062.40000000014,101624.39999999953,210686.79999999967,0.049911691230058335,0.049911691230058335
39,119891.40000000033,126554.59999999938,246445.9999999997,0.049911691230058335,0.049911691230058335
40,120253.49999999994,115919.29999999945,236172.7999999994,0.049911691230058335,0.049911691230058335
41,104191.8999999999,73493.69999999974,177685.59999999963,0.049911691230058335,0.049911691230058335
42,121535.30000000002,131394.69999999934,252929.99999999936,0.049911691230058335,0.049911691230058335
43,120433.69999999985,130446.69999999939,250880.39999999924,0.049911691230058335,0.049911691230058335
44,117511.39999999995,126317.79999999936,243829.1999999993,0.049911691230058335,0.049911691230058335
45,119389.89999999938,128139.29999999938,247529.19999999876,0.049911691230058335,0.049911691230058335
46,119049.90000000074,125629.69999999939,244679.60000000012,0.049911691230058335,0.049911691230058335
47,120297.69999999985,123585.89999999941,243883.59999999928,0.049911691230058335,0.049911691230058335
48,118718.40000000045,124547.59999999941,243265.99999999985,0.049911691230058335,0.049911691230058335
49,119760.4999999997,127267.89999999941,247028.3999999991,0.049911691230058335,0.049911691230058335
50,120518.70000000024,130544.89999999935,251063.5999999996,0.049911691230058335,0.049911691230058335
51,118487.20000000003,102905.99999999952,221393.19999999955,0.049911691230058335,0.049911691230058335
52,117921.1000000006,123886.4999999994,241807.6,0.049911691230058335,0.049911691230058335
53,120324.89999999989,118808.2999999994,239133.1999999993,0.049911691230058335,0.049911691230058335
54,120394.60000000036,84588.5999999997,204983.20000000007,0.049911691230058335,0.049911691230058335
55,109606.39999999975,94653.99999999965,204260.39999999938,0.049911691230058335,0.049911691230058335
56,105471.99999999977,91450.7999999996,196922.79999999935,0.049911691230058335,0.049911691230058335
57,103595.19999999918,65422.79999999985,169017.99999999904,0.049911691230058335,0.049911691230058335
58,92143.99999999994,30378.399999999965,122522.3999999999,0.049911691230058335,0.049911691230058335
59,70212.2999999998,12394.100000000151,82606.39999999995,0.049911691230058335,0.049911691230058335
60,95700.39999999978,53878.80000000002,149579.19999999978,0.049911691230058335,0.049911691230058335
61,121443.50000000019,135345.69999999934,256789.19999999955,0.049911691230058335,0.049911691230058335
62,109693.09999999985,102259.29999999945,211952.3999999993,0.049911691230058335,0.049911691230058335
63,116588.2999999999,119556.09999999942,236144.39999999932,0.049911691230058335,0.049911691230058335
64,111197.60000000017,102921.99999999946,214119.59999999963,0.049911691230058335,0.049911691230058335
65,113042.09999999979,111560.29999999942,224602.3999999992,0.049911691230058335,0.049911691230058335
66,104130.70000000046,64656.89999999987,168787.60000000033,0.049911691230058335,0.049911691230058335
67,103029.09999999998,76149.29999999971,179178.39999999967,0.049911691230058335,0.049911691230058335
68,101179.50000000026,87223.69999999969,188403.19999999995,0.049911691230058335,0.049911691230058335
69,109999.10000000022,98408.49999999952,208407.59999999974,0.049911691230058335,0.049911691230058335
70,123010.8999999997,134735.0999999994,257745.9999999991,0.049911691230058335,0.049911691230058335
71,119318.5000000001,126105.89999999947,245424.39999999956,0.049911691230058335,0.049911691230058335
72,120639.40000000078,132313.79999999935,252953.20000000013,0.049911691230058335,0.049911691230058335
73,101140.39999999947,79484.79999999974,180625.1999999992,0.049911691230058335,0.049911691230058335
74,119111.09999999998,82704.49999999975,201815.59999999974,0.049911691230058335,0.049911691230058335
75,112244.79999999958,58981.1999999999,171225.99999999948,0.049911691230058335,0.049911691230058335
76,119321.90000000021,120938.49999999937,240260.3999999996,0.049911691230058335,0.049911691230058335
77,120384.39999999972,134087.99999999936,254472.3999999991,0.049911691230058335,0.049911691230058335
78,118856.10000000006,128684.2999999994,247540.39999999947,0.049911691230058335,0.049911691230058335
79,117322.69999999958,128911.29999999938,246233.99999999895,0.049911691230058335,0.049911691230058335
80,117603.2000000004,116258.79999999944,233861.99999999983,0.049911691230058335,0.049911691230058335
81,110446.20000000072,101487.79999999957,211934.0000000003,0.049911691230058335,0.049911691230058335
82,118130.19999999982,124104.5999999994,242234.79999999923,0.049911691230058335,0.049911691230058335
83,113502.79999999971,92957.19999999962,206459.99999999933,0.049911691230058335,0.049911691230058335
84,118346.09999999961,131541.49999999936,249887.599999999,0.049911691230058335,0.049911691230058335
85,119026.09999999983,128499.09999999938,247525.1999999992,0.049911691230058335,0.049911691230058335
86,118323.99999999972,108886.79999999951,227210.79999999923,0.049911691230058335,0.049911691230058335
87,119277.70000000011,94812.29999999951,214089.99999999962,0.049911691230058335,0.049911691230058335
88,95402.89999999994,64524.69999999969,159927.59999999963,0.049911691230058335,0.049911691230058335
89,87183.39999999998,42255.0,129438.39999999998,0.049911691230058335,0.049911691230058335
90,96555.50000000028,44476.90000000002,141032.4000000003,0.049911691230058335,0.049911691230058335
91,63498.99999999994,-23227.799999999952,40271.19999999999,0.049911691230058335,0.049911691230058335
92,86862.09999999963,45431.099999999904,132293.19999999955,0.049911691230058335,0.049911691230058335
93,116889.19999999978,119173.59999999944,236062.79999999923,0.049911691230058335,0.049911691230058335
94,121134.1000000002,128259.8999999994,249393.9999999996,0.049911691230058335,0.049911691230058335
